Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET,Crop,Growth_Stage,NDVI_N,EVI_N,NDWI_N,SAVI_N,VV_N,VH_N,VV_VH_N,Temperature_N,Rainfall_N,Soil_Moisture_N,ET_N,Stress_Class,Stress_Score
G0012,78.13640446337477,9.917420764828627,0.3255684971809387,0.4751497490691274,-0.5055118203163147,0.48828504089837793,-10.907206320070111,-15.603818918651324,0.6990087732326009,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.23476005172928527,0.15760324525700783,0.5434291035089635,0.23475031400522478,0.2196734371007779,0.5191210536660207,0.7399107118798167,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0013,78.13649554754016,9.917419912516726,0.31387609243392944,0.46797465455378273,-0.4979568123817444,0.47075387175220784,-10.240222003867355,-16.612998504108617,0.6163981776880803,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.21529165591879756,0.15305012212588137,0.5627397221705869,0.21528751116440306,0.2985524209852828,0.43022449962042153,0.5956570444709662,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0014,78.13658663169733,9.91741906018017,0.5340672135353088,0.9599957214675366,-0.6163009405136108,0.8009817045961625,-9.47201560670757,-15.053945142365952,0.6292048706920491,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5819200777285339,0.46527353548657885,0.2602518427416755,0.5819007786313831,0.3894021434592965,0.567558303662175,0.6180199438184981,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0015,78.13667771584626,9.917418207818958,0.7629119753837585,1.802649930264993,-0.718120813369751,1.1442272224271486,-7.581078137285907,-12.469612342110125,0.6079642196802267,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9629572124515674,0.9999993654267382,0.0,0.9629660563570097,0.6130284305454478,0.7952068646917313,0.5809297644485212,0.0,0.0,0.0,0.0,No Stress,0.2
G0016,78.13567493035163,9.917337272521586,0.6219965219497681,1.2642231396636794,-0.5706404447555542,0.9328792569659443,-9.11962333506666,-17.753733768284615,0.5136735434975381,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7283264514895003,0.6583281206142565,0.3769601809883981,0.7283311755750369,0.43107680302855944,0.3297394764145752,0.41628047518776423,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0017,78.1357660145579,9.917336420414836,0.5135378837585449,0.9999121342588525,-0.5023516416549683,0.7702199661590524,-12.029440751262646,-17.198219154406843,0.6994585103993306,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5477377921794213,0.49060342375537497,0.551506527855882,0.5477496250345795,0.08695560631783775,0.37867361619241097,0.7406960377238346,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0018,78.13585709875595,9.91733556828343,0.3928571343421936,0.8124076809453471,-0.41016948223114014,0.589219953130231,-12.307538793822753,-15.708741059068528,0.7834834597848127,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.3467987512225334,0.3716181111932683,0.787124351616614,0.3468065197348562,0.05406714030068083,0.5098786781160324,0.887419433467503,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0019,78.1359481829458,9.91733471612737,0.6230200529098511,1.2268662923684757,-0.6157687306404114,0.9344067572918041,-10.538132335081592,-14.431990497790038,0.73019257715665,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7300306779755259,0.6346224641714047,0.26161217247240665,0.7300269801978562,0.2633209115719012,0.6223450090932017,0.7943635099761372,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0020,78.1360392671274,9.917333863946656,0.6896032094955444,1.3701227422412934,-0.6302399039268494,1.0342749529190207,-10.939704492550948,-14.111617150977303,0.7752268485963933,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.8408947196136262,0.7255291768570774,0.2246238183448118,0.8408989354767635,0.2158301341008127,0.6505660382837619,0.8730018344119852,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0021,78.1361303513008,9.917333011741285,0.36659619212150574,0.5404563022067074,-0.48053136467933655,0.5498361695381038,-10.209417832721934,-14.527139836342876,0.7027823747645632,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.3030730653118169,0.19904503770572665,0.6072792088929655,0.3030833197139028,0.30219538778424504,0.6139634995591651,0.7465001312725368,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0022,78.13622143546598,9.91733215951126,0.3460594415664673,0.5599682287529786,-0.4290677607059479,0.5190184049079755,-8.398374685157355,-14.20648945376,0.5911646724894851,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.2688784238229471,0.21142678458037395,0.7388203058566761,0.26886996680001163,0.5163732024353823,0.6422089322609217,0.5515945892558123,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0023,78.13631251962293,9.917331307256582,0.3037608563899994,0.6141148947231609,-0.4132404327392578,0.45556805399325084,-8.027382231668284,-14.828185845859469,0.5413596993667166,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.19844931909581745,0.24578681102671163,0.7792749946464348,0.19842847714591047,0.5602475590718906,0.5874449757593826,0.4646257206645348,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0024,78.13640360377168,9.917330454977247,0.30732861161231995,0.49335863377609107,-0.4644157588481903,0.4609248042546905,-8.583598459177642,-17.812974519084456,0.4818733923400244,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.2043897968953768,0.16915811662127844,0.6484707366056361,0.2043754492694837,0.49446824495579444,0.3245210805204553,0.360751418674003,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0025,78.1364946879122,9.91732960267326,0.35249456763267517,0.5896761317245759,-0.4683544337749481,0.5286701911346076,-7.446892615663678,-18.870150095021373,0.39463875900109757,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.2795932069713295,0.23027862547361444,0.6384034739102935,0.27958521407327963,0.6288974957400124,0.23139665838960294,0.20842330989738947,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0026,78.1365857720445,9.917328750344616,0.5152068138122559,0.8936484490398818,-0.5871296525001526,0.7726927170442451,-8.751858024613833,-15.905208560600485,0.550251069721491,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5505166380685849,0.4231713304032229,0.33481372587599373,0.5504948305911346,0.4745695108655905,0.49257225999202187,0.48015172884196416,0.0,0.0,0.0,0.0,Mild Stress,0.45
